fips,cases,deaths
36083,31559,248.0
36027,64215,655.0
36029,209842,2611.0
36065,53884,782.0
36023,10757,116.0
36063,48020,572.0
36121,8291,82.0
36033,9553,44.0
36103,427647,4367.0
36099,6022,89.0
36051,11687,115.0
36059,405208,3825.0
36019,16893,86.0
36105,18462,129.0
36109,19052,84.0
36003,8952,154.0
36089,21383,183.0
36069,20105,175.0
36055,152956,1552.0
36017,9353,120.0
36079,23758,121.0
36117,17367,173.0
36039,8668,125.0
36053,13361,126.0
36087,92705,891.0
36111,31941,361.0
36073,8633,113.0
36075,26757,185.0
36091,46336,328.0
36123,3404,39.0
36021,10103,140.0
36025,7832,69.0
36009,15466,221.0
,2320951,40104.0
36037,13685,185.0
36101,19982,248.0
36119,252418,2706.0
36031,5748,59.0
36115,12112,113.0
36011,16505,147.0
36007,45651,513.0
36113,13705,127.0
36097,3514,25.0
36049,6166,49.0
36077,9991,88.0
36041,874,5.0
36043,13903,190.0
36057,11942,203.0
36107,10819,82.0
36001,59329,510.0
36093,33093,297.0
36071,107062,947.0
36095,5038,35.0
36035,12712,169.0
36015,21418,230.0
36013,23589,299.0
36067,114262,1046.0
36045,20166,136.0
29169,8818,115.0
29031,18740,241.0
29043,20868,256.0
29071,22675,338.0
29229,3834,80.0
29117,3751,96.0
29201,11109,159.0
29025,1694,38.0
29186,3657,39.0
29131,6101,118.0
29019,43350,250.0
29223,2400,53.0
29165,10378,101.0
,112687,1290.0
29181,2690,61.0
29111,2747,35.0
29039,2922,55.0
29219,8133,102.0
29153,1710,55.0
29121,3635,53.0
29119,5795,71.0
29167,8040,108.0
29177,5147,93.0
29139,2548,57.0
29089,2167,25.0
29103,977,13.0
29059,3812,71.0
29067,2550,79.0
29151,3212,44.0
29197,735,26.0
29179,1158,25.0
29217,5051,109.0
29037,24967,307.0
29187,19070,294.0
29081,1821,33.0
29029,9280,179.0
29510,56254,772.0
29017,2589,38.0
29049,4804,117.0
29135,3814,56.0
29149,2022,33.0
29035,1499,24.0
29161,10185,240.0
29063,2204,45.0
29205,1555,15.0
29109,7786,164.0
29001,6062,62.0
29143,5030,85.0
29155,3006,74.0
29003,4758,56.0
29073,3334,95.0
29075,2158,31.0
29141,4025,109.0
29147,6027,44.0
29133,3457,56.0
29099,53990,640.0
29051,20121,283.0
29129,697,13.0
29033,2226,44.0
29027,12073,127.0
29105,8102,175.0
29163,4238,63.0
29173,2455,26.0
29157,4989,45.0
29175,6013,102.0
29209,5784,120.0
29005,1390,21.0
29213,13307,223.0
29215,4719,100.0
29211,1707,21.0
29095,96087,1192.0
29061,1716,28.0
29107,7793,128.0
29123,3601,57.0
29227,401,3.0
29041,1699,36.0
29083,5741,83.0
29065,3261,81.0
29101,12165,140.0
29079,2485,67.0
29009,6625,127.0
29097,20862,310.0
29225,9025,146.0
29057,1439,41.0
,13735,217.0
29207,6103,128.0
29159,12208,160.0
29189,221012,3304.0
29195,6269,102.0
29091,9002,210.0
29053,4142,75.0
29015,4180,103.0
29055,5396,101.0
29045,1590,32.0
29115,2549,64.0
29011,2844,51.0
29069,7456,117.0
29203,1607,38.0
29137,2173,42.0
29185,2102,34.0
29171,995,23.0
29077,71231,1023.0
29013,3746,92.0
29093,2197,43.0
29127,7961,118.0
29007,5734,111.0
29113,15127,137.0
29145,11730,203.0
29183,101847,924.0
29221,5983,137.0
29023,10111,166.0
29021,24863,307.0
29047,26987,357.0
29085,1827,56.0
29199,683,18.0
29125,1599,37.0
29087,1055,29.0
51155,7225,135.0
51015,18958,211.0
51075,3983,51.0
51007,2616,61.0
51199,9801,105.0
51147,4913,69.0
51195,10244,194.0
51067,10772,191.0
51119,1822,46.0
51107,68196,376.0
51650,27590,324.0
51678,2829,40.0
51169,5719,108.0
51790,5648,110.0
51043,2607,42.0
51081,3322,39.0
51183,2422,41.0
51193,3252,50.0
51143,14021,195.0
51770,21226,365.0
51013,41940,321.0
51187,8529,151.0
51570,4838,96.0
51121,18625,149.0
51025,3213,47.0
51049,1295,26.0
51197,7485,145.0
51735,2342,30.0
51087,64579,916.0
51105,6212,92.0
51690,3326,117.0
51161,21174,278.0
51069,20564,244.0
51111,2370,36.0
51117,6070,117.0
51540,10148,80.0
51680,20371,272.0
51023,7461,96.0
51710,42179,468.0
51610,2008,16.0
51073,7311,102.0
51085,21702,279.0
51127,4616,32.0
51003,17322,154.0
51091,365,7.0
51149,8466,75.0
51595,1163,54.0
51041,72748,752.0
51051,3325,47.0
51600,1975,43.0
51001,6941,105.0
51057,2257,32.0
51145,5104,58.0
51173,8750,171.0
51005,3572,95.0
51810,89405,810.0
51047,11593,149.0
51670,6112,119.0
51053,5309,88.0
51021,1761,21.0
51019,16962,234.0
51035,6656,145.0
51157,998,10.0
51185,10199,167.0
51179,30264,172.0
51037,2470,46.0
51700,36202,393.0
51135,4121,88.0
51036,1155,27.0
51011,3773,52.0
51159,2638,27.0
51125,2707,34.0
51530,2002,43.0
51820,5321,60.0
51171,10793,221.0
51083,7027,155.0
51113,2343,39.0
51061,13026,141.0
51660,13242,157.0
51740,20839,321.0
51165,14437,227.0
51089,11732,261.0
51177,26823,293.0
51139,5589,120.0
51830,1756,22.0
51163,3263,77.0
51181,1087,19.0
51800,18688,297.0
51580,1248,26.0
51099,5003,38.0
51071,4052,48.0
51109,6651,82.0
51031,12093,210.0
51029,3892,57.0
51520,4389,79.0
51720,1305,22.0
51045,1117,18.0
51630,5350,41.0
51590,11125,277.0
51095,14837,119.0
51101,3686,39.0
51009,7201,87.0
51620,2466,52.0
51131,2150,63.0
51115,1430,28.0
51017,893,20.0
51153,95039,731.0
51063,2554,47.0
51640,2554,77.0
51760,44541,498.0
51685,3720,26.0
51840,6311,77.0
51175,3336,89.0
51079,4029,62.0
51141,3627,93.0
51133,2165,46.0
51550,49942,484.0
51510,30452,186.0
51683,9102,70.0
51097,1123,12.0
51775,6730,105.0
51059,176962,1438.0
51103,1799,31.0
51167,6823,111.0
51093,7273,111.0
51191,13719,214.0
51027,4877,115.0
51077,4040,79.0
51750,4911,49.0
51065,5071,43.0
51730,8302,140.0
51137,6866,85.0
51033,6819,81.0
72137,12691,
72091,5957,
72093,554,
72089,2486,
72081,3695,
72075,5836,
72143,6120,
72139,9838,
72039,2530,
72151,4309,
72037,1372,
72141,3333,
72107,2908,
72125,3493,
72147,713,
72049,164,
72097,9677,
72054,2454,
72007,3949,
72011,3540,
72033,4121,
72001,2227,
72065,5136,
72059,2071,
72133,2557,
72149,2972,
72031,27643,
72041,5558,
72009,3552,
72061,15340,
72005,7102,
72003,6207,
72043,4507,
