fips,cases,deaths
41001,656,7
41003,2344,16
41005,13380,178
41007,776,6
41009,1265,21
41011,1491,19
41013,779,18
41015,429,6
41017,5952,59
41019,2474,54
41021,53,1
41023,223,1
41025,273,6
41027,1069,29
41029,8395,112
41031,1958,28
41033,2340,50
41035,2791,55
41037,376,6
41039,10258,126
41041,1132,20
41043,3590,56
41045,3351,58
41047,18468,285
41049,1049,14
41051,31877,534
41053,3064,42
41055,53,0
41057,414,2
41059,7659,82
41061,1284,19
41063,142,4
41065,1221,26
41067,21211,213
41069,22,1
41071,3783,64
33001,3123,90
33003,1711,6
33005,2675,26
33007,1323,36
33009,2674,19
33011,28564,582
33013,7444,104
33015,18472,208
33017,7048,74
33019,1340,20
25001,10088,404
25003,4867,261
25005,55734,1501
25007,862,0
25009,83792,2163
25011,1978,101
25013,41742,1332
25015,7395,261
25017,111798,3438
25019,1161,2
25021,45485,1617
25023,40274,1294
25025,78277,1697
25027,65363,2039
17001,8009,143
17003,448,8
17005,1909,30
17007,5923,86
17009,663,12
17011,3307,86
17013,478,5
17015,1576,35
17017,1888,31
17019,18209,134
17021,3305,86
17023,1686,38
17025,1429,46
17027,5571,98
17029,5196,93
17031,474397,9914
17033,2007,39
17035,1192,30
17037,8409,117
17039,1279,29
17041,2444,38
17043,76765,1281
17045,1543,57
17047,523,11
17049,4492,80
17051,3065,55
17053,1584,53
17055,4145,78
17057,2852,52
17059,437,5
17061,1379,45
17063,5120,67
17065,788,18
17067,1671,39
17069,344,12
17071,498,23
17073,4329,85
17075,2771,62
17077,4610,71
17079,1109,19
17081,3976,116
17083,2496,65
17085,1605,25
17087,1347,18
17089,50746,769
17091,12496,197
17093,11308,95
17095,5017,163
17097,59517,992
17099,10798,274
17101,2296,33
17103,3352,82
17105,4198,89
17107,3310,66
17109,2327,52
17111,24315,291
17113,14601,193
17115,9457,195
17117,4350,108
17119,27987,528
17121,4262,117
17123,838,17
17125,1286,42
17127,1271,36
17129,1036,12
17131,1280,33
17133,4065,83
17135,3495,74
17137,3660,98
17139,1491,32
17141,5020,81
17143,16992,277
17145,3054,66
17147,1327,20
17149,1691,53
17151,282,3
17153,670,6
17155,415,4
17157,3963,84
17159,1635,47
17161,13065,329
17163,27990,510
17165,2297,63
17167,16128,258
17169,677,17
17171,449,1
17173,2139,37
17175,541,22
17177,4096,94
17179,13521,274
17181,2185,40
17183,8564,133
17185,1300,15
17187,1664,47
17189,1583,29
17191,1674,49
17193,1608,35
09001,80243,2051
17195,5994,189
09003,69982,2277
17197,65037,966
09005,11103,278
17199,6796,133
09007,10386,342
09009,71194,1919
17201,28340,469
09011,19123,407
17203,3701,73
09013,7787,164
09015,9155,179
50001,751,8
50003,1444,9
50005,422,5
50007,4873,88
50009,165,1
50011,1247,35
50013,111,0
50015,469,2
50017,510,3
50019,449,6
50021,1303,12
50023,1440,13
50025,959,13
50027,1048,10
01001,6264,91
01003,19732,283
01005,2115,51
01007,2450,60
01009,6097,127
01011,1169,36
01013,1961,66
01015,13275,286
01017,3410,110
01019,1770,38
01021,3870,100
01023,550,24
01025,3436,50
01027,1443,54
01029,1377,39
01031,5245,102
01033,6004,118
01035,1067,24
01037,888,23
01039,3957,106
01041,1443,54
42001,7273,150
01043,8891,181
42003,76669,1720
01045,4640,107
42005,4906,116
01047,3403,141
42007,12247,349
01049,8446,175
42009,3804,129
01051,9376,185
42011,35658,900
01053,3774,72
42013,10608,298
01055,13176,319
42015,4386,78
01057,2002,56
42017,45046,1132
01059,3991,77
42019,13916,369
01061,2396,70
42021,11682,394
01063,876,32
42023,260,7
01065,2097,68
42025,4881,151
01067,1824,41
42027,12938,209
01069,10086,261
42029,30629,725
01071,6492,102
42031,2694,83
01073,70986,1374
42033,6265,114
01075,1328,33
42035,2798,55
01077,8603,211
42037,4608,123
01079,2829,85
42039,6360,136
01081,14961,153
42041,16520,482
01083,9359,134
42043,20559,493
01085,1310,51
42045,40957,1272
01087,1420,44
42047,2329,35
01089,32405,455
42049,17306,378
01091,2434,55
42051,10456,266
01093,2818,95
42053,1380,21
01095,11261,209
42055,12503,324
01097,36108,725
42057,1131,14
01099,1661,39
42059,2671,33
01101,22565,501
42061,4200,123
01103,13659,251
42063,5081,159
01105,1058,27
42065,2785,90
01107,2246,54
42067,1817,80
01109,2933,72
42069,13934,419
01111,1636,40
42071,43630,1033
01113,4047,31
42073,6026,183
01115,8822,223
42075,12819,259
01117,21929,215
42077,30755,759
01119,984,31
42079,24905,729
01121,7517,163
42081,9299,246
01123,3585,142
42083,3041,62
01125,24110,410
42085,8042,240
01127,6518,255
42087,4583,167
01129,1566,35
42089,9656,266
01131,1218,25
42091,53921,1548
01133,2467,67
42093,1776,60
42095,26814,644
42097,7971,324
42099,2894,84
42101,117642,3139
42103,2519,48
42105,937,21
42107,12027,368
42109,3007,80
42111,6683,187
42113,309,16
42115,1701,54
42117,2439,94
42119,5281,81
42121,3352,83
42123,2160,98
42125,13701,258
42127,3047,66
42129,26767,672
42131,1161,41
42133,35812,722
34001,24836,568
34003,77537,2617
34005,35369,744
34007,44149,1148
34009,7225,181
34011,14290,369
34013,73718,2677
34015,24145,541
34017,69277,2005
34019,6927,159
34021,27790,877
34023,72617,2095
34025,56878,1404
34027,37542,1122
34029,58624,1857
34031,56840,1687
34033,4687,164
34035,22825,783
34037,9127,273
34039,56756,1766
34041,7063,216
26001,429,24
26003,582,5
26005,7298,118
26007,1490,48
26009,938,20
26011,755,24
26013,777,33
26015,3757,44
26017,7430,288
26019,918,31
26021,11525,242
26023,4603,110
26025,9601,234
26027,3994,64
26029,1044,13
26031,998,36
26033,4831,43
26035,1607,69
26037,5031,70
26039,589,5
26041,3130,84
26043,2371,69
26045,6276,153
26047,1528,39
26049,25546,754
26051,1482,43
26053,1268,47
26055,4265,69
26057,5656,107
26059,3349,73
26061,2648,41
26063,2146,59
26065,16387,282
26067,7032,75
26069,1280,67
26071,927,49
26073,4017,73
26075,14172,253
26077,15018,321
26079,605,15
26081,51724,710
26083,144,2
26085,361,11
26087,5566,129
26089,875,15
26091,7744,129
26093,10341,145
26095,1075,2
26097,441,3
26099,59372,1972
26101,1522,23
26103,4803,56
26105,1236,26
26107,2015,19
26109,1879,37
26111,4991,65
26113,778,17
26115,9772,203
26117,5617,94
26119,360,17
26121,12691,316
26123,2842,51
26125,74754,1998
26127,1875,50
26129,1114,34
26131,411,20
26133,1053,23
26135,400,19
26137,1168,26
26139,22368,352
26141,660,28
26143,1162,32
26145,15964,518
26147,8705,257
26149,4671,85
26151,2070,77
26153,259,5
26155,3807,79
26157,3204,137
26159,4976,96
26161,19252,251
26163,101804,4144
54047,1350,20
26165,1445,20
18001,3232,50
18003,35858,660
18005,7469,153
18007,919,13
18009,1217,27
18011,6102,93
18013,949,39
18015,1767,20
18017,5448,101
18019,11967,189
18021,2410,44
18023,3959,58
18025,908,14
18027,2855,98
18029,5479,70
18031,2761,92
18033,3856,82
18035,9850,185
18037,5904,112
18039,25477,430
18041,2849,58
18043,7211,174
18045,2016,43
18047,1612,36
18049,1783,38
18051,4017,84
18053,6839,164
18055,2621,84
18057,32101,414
18059,7428,135
18061,3999,65
18063,15871,319
18065,5433,94
18067,9066,201
18069,3443,78
18071,4649,67
18073,3163,45
18075,1786,30
18077,2948,73
18079,2154,46
18081,16398,374
18083,3574,85
18085,8581,113
18087,2414,72
18089,48464,911
18091,9771,199
18093,4183,115
18095,11774,339
18097,90846,1708
18099,5426,105
18101,802,15
18103,3578,64
18105,10333,165
18107,3869,84
18109,6100,130
18111,967,33
18113,5094,81
18115,533,11
18117,1716,53
18119,1824,55
18121,1406,16
18123,1743,36
18125,1276,32
18127,15983,286
18129,2608,31
18131,1066,44
18133,3306,60
18135,2297,77
18137,3272,61
18139,1710,22
18141,29980,530
18143,2510,52
18145,5532,100
18147,2174,30
18149,1883,53
18151,3387,57
18153,2035,39
18155,754,7
18157,20007,205
18159,1468,44
18161,699,11
18163,21255,384
18165,1605,42
18167,11608,236
18169,3316,76
18171,760,15
18173,7415,153
18175,2110,27
18177,7021,194
18179,2608,78
18181,2974,53
18183,3491,36
10001,14388,295
10003,49523,695
10005,22694,432
51001,2602,35
51003,4840,60
51005,1250,44
51007,767,20
51009,2674,23
51011,1411,17
51013,13151,227
51015,5196,56
51017,246,10
51019,5787,68
51021,622,9
51023,2216,26
51025,1195,16
51027,1296,34
51029,2041,27
51031,4009,55
51033,1825,22
51035,2107,59
51036,398,11
51037,748,14
51041,23546,298
51043,758,17
51045,241,4
51047,4065,50
51049,384,6
51051,876,14
51053,1789,26
51057,635,6
51059,66573,930
51061,3946,51
51063,735,18
51065,1299,14
51067,3711,52
51069,6751,68
51071,1075,14
51073,1863,37
51075,1208,13
51077,1133,31
51079,1002,7
51081,1452,24
51083,2432,61
51085,6651,125
51087,21387,487
51089,4195,105
51091,91,0
51093,2649,52
51095,3867,52
51097,305,6
51099,1420,16
51101,903,8
51103,661,11
51105,2289,39
51107,23076,229
51109,1687,21
51111,642,5
51113,532,12
51115,552,10
51117,1981,53
51119,517,16
51121,7685,75
51125,767,7
51127,1241,12
51131,714,33
51133,666,16
51135,1798,37
51137,1841,25
51139,1826,47
51141,1198,35
51143,4761,64
51145,1639,8
51147,1953,26
51149,2966,12
51153,39333,404
51155,2309,53
51157,299,3
51159,1389,8
51161,7317,106
51163,1279,35
02013,361,1
51165,6046,92
51167,2029,29
02016,555,0
51169,1583,48
51171,3704,119
02020,26422,152
51173,2516,86
51175,1854,51
51177,8281,99
51179,9555,67
51181,362,6
51183,1067,16
51185,3185,52
51187,2292,45
51191,4270,95
51193,1110,17
51195,2872,90
51197,2022,58
51199,3008,30
02050,3557,18
02068,72,0
02070,202,1
46003,453,16
46005,2730,39
02090,6173,26
46007,382,9
02100,24,0
46009,1504,25
02110,1215,3
46011,3588,37
02122,3961,19
46013,5129,88
02130,349,2
46015,691,9
46017,420,13
02150,1052,5
02158,1197,3
46019,978,20
46021,129,4
02170,8536,33
46023,1294,21
02180,325,0
02185,1000,4
02188,586,1
46025,371,5
02195,79,0
02198,71,1
46027,1793,16
46029,3986,77
46031,468,12
02220,305,0
46033,749,12
02230,19,0
35001,52528,858
35003,83,5
35005,8854,149
35006,3379,104
35007,859,46
02240,447,3
35009,4920,67
46035,2952,62
35011,132,0
35013,22979,392
35015,6458,116
46037,663,28
35017,1492,34
35019,612,9
35021,8,0
35023,349,9
35025,8706,147
46039,473,8
35027,1543,16
35028,482,4
02261,479,2
35029,3095,74
35031,12034,443
35033,161,6
35035,4413,56
46041,1412,26
35037,420,8
35039,3405,64
35041,1838,50
02275,26,0
35043,10843,200
35045,13521,433
46043,434,9
35047,1228,11
35049,9804,139
35051,698,44
35053,1221,52
35055,1535,49
46045,482,12
35057,689,12
02290,333,4
35059,403,9
