fips,cases,deaths
41001,1882,25
41003,4886,30
41005,27852,278
41007,2288,27
41009,3462,39
41011,4547,76
41013,2330,39
41015,1721,18
41017,17988,105
41019,11252,215
41021,143,4
41023,915,10
41025,956,22
41027,1706,36
41029,21749,279
41031,3378,49
41033,8909,178
41035,6931,97
41037,789,8
41039,25358,265
41041,2934,31
41043,11328,97
41045,5124,70
41047,34255,410
41049,1733,22
41051,53026,650
41053,6597,75
41055,137,3
41057,1875,24
41059,13457,129
41061,2942,39
41063,578,12
41065,2597,39
41067,36418,285
41069,65,1
41071,7946,104
33001,5443,116
33003,3261,19
33005,5041,45
33007,2669,47
33009,5180,30
33011,42274,665
33013,11908,127
33015,28911,289
33017,12111,111
33019,2543,31
25001,16796,506
25003,8111,313
25005,77227,1830
25007,1788,0
25009,108596,2468
25011,3218,120
25013,62663,1621
25015,11172,315
25017,152657,3871
25019,1896,0
25021,61933,1842
25023,56496,1495
25025,104324,1890
25027,90009,2343
17001,12849,177
17003,685,11
17005,2475,29
17007,7702,95
17009,1036,14
17011,4314,101
17013,651,5
17015,2281,38
17017,2557,38
17019,26246,196
17021,5028,99
17023,2578,47
17025,2474,54
17027,6883,109
17029,7548,118
17031,619576,11595
17033,3165,46
17035,1826,38
17037,12113,138
17039,1995,37
17041,3124,42
17043,105071,1449
17045,2416,65
17047,996,17
17049,6309,96
17051,4143,62
17053,2370,66
17055,7059,114
17057,4984,78
17059,771,8
17061,2018,52
17063,7129,86
17065,1307,24
17067,2640,44
17069,567,15
17071,680,23
17073,6359,105
17075,4060,76
17077,7848,102
17079,1559,22
17081,6207,138
17083,3281,72
17085,2092,30
17087,2190,33
17089,66595,909
17091,17127,244
17093,16484,116
17095,6869,198
17097,78007,1137
17099,14660,336
17101,3137,41
17103,4645,99
17105,5781,108
17107,4818,87
17109,3619,69
17111,33528,345
17113,22287,248
17115,14766,258
17117,6651,131
17119,38863,654
17121,6663,144
17123,1366,23
17125,2043,52
17127,2043,48
17129,1649,17
17131,1958,35
17133,5145,99
17135,4754,83
17137,5097,118
17139,2160,39
17141,7268,95
17143,26407,394
17145,4211,81
17147,1949,20
17149,2594,59
17151,515,5
17153,1007,11
17155,550,5
17157,5405,103
17159,2706,65
17161,18093,394
17163,39294,621
17165,4207,84
17167,25019,321
17169,997,22
17171,701,5
17173,3260,46
17175,781,27
17177,5587,110
17179,20045,360
17181,2990,51
17183,13591,209
17185,2083,21
17187,2318,66
17189,2082,34
17191,2839,58
17193,2718,42
09001,110289,2278
17195,8171,218
09003,95412,2545
17197,88467,1174
09005,16474,313
17199,11713,176
09007,14445,387
09009,102606,2209
17201,39593,580
09011,26361,483
17203,5615,104
09013,10947,196
09015,12483,208
50001,1363,8
50003,2725,19
50005,1460,10
50007,10118,120
50009,394,2
50011,2714,43
50013,308,2
50015,1110,5
50017,1075,4
50019,2011,13
50021,3237,26
50023,2933,18
50025,1944,23
50027,2247,24
01001,9744,140
01003,36447,509
01005,3490,71
01007,4131,83
01009,9818,160
01011,1503,44
01013,3203,90
01015,21573,428
01017,5467,137
01019,2932,57
01021,6445,146
01023,764,27
01025,4655,80
01027,2312,66
01029,2400,53
01031,9030,181
01033,8608,186
01035,1829,48
01037,1729,35
01039,6518,170
01041,2405,71
42001,12012,199
01043,14848,266
42003,120934,2164
01045,8693,175
42005,7638,168
01047,4739,190
42007,19597,432
01049,12294,245
42009,5988,153
01051,14620,268
42011,54648,1089
01053,6623,124
42013,15487,356
01055,19496,468
42015,6946,107
01057,2820,73
42017,69039,1375
01059,5839,102
42019,22401,455
01061,4481,120
42021,17354,468
01063,1224,43
42023,421,10
01065,2938,86
42025,7875,186
01067,3049,59
42027,19320,235
01069,16985,387
42029,47513,850
01071,9479,162
42031,4033,105
01073,112407,1798
42033,10132,178
01075,2017,45
42035,4345,71
01077,13701,283
42037,6998,143
01079,4142,108
42039,9567,171
01081,22831,224
42041,25273,567
01083,14745,193
42043,31613,594
01085,1710,60
42045,59157,1461
01087,2231,58
42047,3604,49
01089,50469,643
42049,25588,453
01091,3275,85
42051,15746,352
01093,4853,123
42053,1531,22
01095,17951,280
42055,19782,414
01097,71192,1258
42057,1925,25
01099,3219,57
42059,4257,49
01101,33411,684
42061,6172,145
01103,20017,342
42063,7989,194
01105,1367,37
42065,4162,106
01107,3084,76
42067,2616,107
01109,4651,99
42069,21170,501
01111,3144,57
42071,65616,1241
01113,6130,56
42073,9721,241
01115,15585,316
42075,18968,313
01117,36609,321
42077,46034,907
01119,1250,36
42079,37200,870
01121,13191,248
42081,14423,323
01123,6778,187
42083,4424,77
01125,34266,554
42085,12138,296
01127,10723,338
42087,6348,185
01129,2460,49
42089,18202,347
01131,1616,37
42091,80719,1788
01133,4319,97
42093,2264,68
42095,42137,759
42097,11418,388
42099,4761,108
42101,174478,3915
42103,4885,57
42105,1549,29
42107,17379,435
42109,4323,92
42111,9629,228
42113,543,24
42115,3212,64
42117,3969,119
42119,6831,95
42121,5293,113
42123,3345,116
42125,22649,349
42127,5101,99
42129,40788,840
42131,2467,56
42133,56293,904
34001,37626,739
34003,116488,2955
34005,52064,923
34007,64993,1402
34009,11865,229
34011,19839,460
34013,104293,3123
34015,36382,696
34017,95687,2367
34019,11397,187
34021,38119,992
34023,103308,2426
34025,88842,1702
34027,56081,1286
34029,89783,2286
34031,79754,1992
34033,7265,200
34035,33950,868
34037,16143,319
34039,78543,2024
34041,11477,251
26001,930,39
26003,866,7
26005,13245,176
26007,2769,69
26009,2004,34
26011,1469,31
26013,1169,45
26015,7027,76
26017,12976,370
26019,1483,38
26021,18096,312
26023,6860,133
26025,16966,337
26027,6561,85
26029,2163,29
26031,2417,57
26033,6288,52
26035,3063,92
26037,8837,102
26039,1153,15
26041,5159,100
26043,3528,75
26045,11870,228
26047,2951,47
26049,47361,1033
26051,2848,66
26053,1626,53
26055,7927,108
