fips,cases,deaths
18063,681,42
18065,40,1
18067,173,6
18069,9,2
18071,139,1
18073,35,1
18075,16,0
18077,27,0
18079,77,4
18081,588,67
18083,20,0
18085,35,2
18087,25,2
18089,1866,90
18091,218,5
18093,100,14
18095,428,56
18097,5576,353
18099,29,1
18101,7,0
18103,105,0
18105,123,8
18107,67,0
18109,155,5
18111,48,7
18113,70,13
18115,4,0
18117,76,9
18119,23,1
18121,12,0
18123,15,0
18125,2,0
18127,243,8
18129,11,0
18131,23,0
18133,70,4
18135,21,2
18137,92,5
18139,37,1
18141,640,22
18143,46,2
18145,217,19
18147,8,0
18149,17,1
18151,23,1
18153,16,0
18155,16,0
18157,110,2
18159,18,1
18161,10,0
18163,135,2
18165,8,0
18167,64,6
18169,42,1
18171,11,1
18173,96,14
18175,43,0
18177,78,3
18179,6,0
18181,47,0
18183,19,1
10001,759,26
10003,1734,68
10005,2216,58
51001,264,4
51003,103,4
51005,6,0
51007,15,1
51009,12,1
51011,20,0
51013,967,41
51015,43,1
51019,30,0
51023,28,3
51025,14,0
51027,16,0
51029,58,0
51031,12,0
51033,27,1
51035,11,0
51036,13,1
51037,8,0
51041,531,20
51043,8,0
51045,3,0
51047,141,3
51049,13,0
51053,16,0
51057,7,0
51059,3611,134
51061,111,2
51063,2,0
51065,73,6
51067,21,0
51069,105,1
51071,4,0
51073,23,1
51075,76,4
51077,2,0
51079,10,1
51081,39,6
51083,18,0
51085,118,9
51087,876,100
51089,16,1
51091,2,0
51093,99,2
51095,158,12
51097,2,0
51099,32,4
51101,5,1
51103,2,0
51105,9,0
51107,746,15
51109,43,0
51111,4,0
51113,14,0
51115,4,0
51117,100,10
51119,8,0
51121,56,1
51125,8,0
51127,23,2
51131,64,0
51133,9,0
51135,12,0
51137,31,0
51139,100,1
51141,2,0
51143,13,1
51145,13,0
51147,49,2
51149,33,0
51153,1645,24
51155,10,0
51157,5,0
51159,144,0
51161,51,0
51163,6,0
51165,240,1
51167,3,0
51169,7,1
51171,108,2
02020,179,4
51173,13,0
51175,125,1
51177,143,3
51179,240,2
51181,4,1
51183,31,1
51185,6,0
51187,52,0
51191,36,3
51193,22,0
51195,22,1
51197,11,1
51199,46,1
02050,1,0
02090,81,2
02110,27,0
46011,13,0
02122,18,0
46013,39,0
02130,16,0
46017,1,0
02150,1,0
02170,21,1
02180,1,0
02195,3,0
02198,2,0
46031,1,0
02220,1,0
35001,811,35
35003,1,1
35005,22,1
35006,52,3
35007,5,0
02240,1,0
35009,17,0
35013,144,1
35015,13,1
46037,1,0
35017,14,0
35019,14,0
35021,1,0
35025,10,0
35027,2,0
35028,6,0
35029,5,1
35031,1027,19
35035,5,0
35037,4,1
35039,14,0
35041,9,0
35043,389,13
35045,621,45
46043,1,0
35047,2,0
35049,100,0
35051,1,0
35053,42,2
35055,18,0
35057,15,0
02290,1,0
35059,3,0
35061,45,0
51510,754,21
46059,1,0
51520,1,0
51530,6,0
51540,56,2
51550,242,6
46069,1,0
51570,54,5
27001,1,0
27003,212,10
46073,6,1
27005,2,0
27007,6,0
27009,15,0
27011,2,0
27013,38,0
51590,35,1
27015,8,1
27017,59,0
27019,21,0
51595,23,2
27021,5,0
27023,2,0
51600,27,2
27025,11,1
27027,157,11
27029,3,0
27033,20,0
51610,26,2
27035,20,1
46079,4,0
27037,162,10
27039,21,0
27041,2,0
27043,5,0
51620,20,0
27045,12,1
46081,9,0
27047,34,0
27049,19,0
27053,1738,225
51630,33,0
27055,1,0
27059,7,0
27061,5,0
27063,14,0
51640,4,0
27067,91,1
27069,1,0
27071,1,0
27073,1,0
51650,115,1
27079,24,0
27081,3,0
27083,7,0
51660,426,11
27085,4,0
46089,1,0
27087,2,0
27089,1,0
27091,88,4
27093,11,0
51670,24,0
27095,2,1
27097,5,0
27099,28,0
27101,13,0
51678,3,0
27103,11,2
51680,53,1
27105,742,1
51683,216,3
27107,8,0
27109,265,6
51685,61,1
27111,9,0
27113,1,0
51690,2,0
27115,56,0
27117,2,0
27119,27,0
27123,374,26
51700,118,7
27125,2,0
46097,1,0
27127,2,0
27129,4,0
27131,14,1
27133,11,0
51710,198,3
27135,1,0
27137,71,11
27139,44,1
27141,28,0
27143,2,0
51720,2,0
27145,267,0
27147,16,0
27151,2,0
27153,7,0
51730,31,2
27155,2,0
27157,8,0
51735,6,0
27159,1,0
27161,4,0
27163,131,10
51740,158,5
27165,11,0
27167,12,3
27169,66,15
27171,42,1
27173,3,0
51750,3,0
51760,339,15
19001,1,0
51770,73,0
19005,89,3
19007,2,2
51775,26,0
19009,1,0
19011,31,1
19013,1140,13
19015,12,0
19017,51,3
19019,17,0
19021,4,0
51790,12,0
19023,9,0
19027,2,0
19029,1,0
19031,29,0
51800,169,12
19033,14,0
19035,2,0
19037,5,0
19039,2,0
19041,4,0
51810,385,14
19043,14,1
19045,48,1
19047,21,1
19049,318,0
19051,1,0
51820,11,0
19055,8,0
19057,17,1
19059,6,0
19061,102,4
51830,20,1
19065,20,0
19069,2,0
51840,37,0
19073,5,0
19075,11,0
19077,12,0
19079,7,0
19081,3,0
19083,8,0
19085,16,0
19087,32,1
19089,10,0
19091,4,0
19095,19,0
19097,5,0
19099,130,1
19101,7,0
19103,461,6
19105,21,0
19107,4,0
19109,2,0
19111,8,0
19113,669,43
19115,269,2
19119,13,0
19121,5,1
19123,10,1
19125,8,0
19127,467,2
19129,3,0
19131,2,0
19133,7,0
19137,1,0
19139,336,14
19141,8,0
19143,9,0
19145,6,0
19149,12,0
19151,1,0
19153,985,35
19155,33,2
19157,56,2
19163,226,6
19165,9,0
19167,9,0
19169,27,1
19171,266,7
19173,1,0
19175,1,0
19177,8,0
19179,10,0
19181,22,0
