fips,cases,deaths
41001,472,5
41003,1347,11
41005,10058,114
41007,553,3
41009,837,14
41011,756,9
41013,448,7
41015,278,3
41017,3976,22
41019,1387,39
41021,37,1
41023,170,1
41025,134,2
41027,816,14
41029,5884,72
41031,1425,17
41033,1193,22
41035,1910,18
41037,197,4
41039,6929,92
41041,880,17
41043,2650,32
41045,2914,50
41047,13928,210
41049,815,8
41051,25290,394
41053,1977,30
41055,31,0
41057,308,0
41059,5640,57
41061,980,14
41063,76,3
41065,905,22
41067,16070,142
41069,17,1
41071,2641,35
33001,1934,47
33003,905,4
33005,1263,7
33007,662,15
33009,1127,9
33011,17624,435
33013,4793,64
33015,10918,141
33017,3489,31
33019,430,6
25001,5396,238
25003,2907,138
25005,34655,1071
25007,483,0
25009,58429,1698
25011,1278,92
25013,26282,1046
25015,3832,198
25017,75615,2729
25019,748,2
25021,27296,1302
25023,24296,1005
25025,54556,1374
25027,42595,1523
17001,6582,82
17003,341,7
17005,1554,16
17007,5070,72
17009,451,11
17011,2813,72
17013,381,4
17015,1333,31
17017,1586,29
17019,13839,88
17021,2600,66
17023,1212,25
17025,1198,36
17027,4485,80
17029,4294,71
17031,393652,8285
17033,1578,31
17035,937,25
17037,6768,81
17039,915,25
17041,1854,28
17043,61805,1030
17045,1344,42
17047,397,6
17049,3860,57
17051,2664,49
17053,1227,43
17055,3362,56
17057,2342,31
17059,330,4
17061,1115,41
17063,3859,47
17065,601,10
17067,1316,30
17069,217,7
17071,397,13
17073,3692,62
17075,2323,51
17077,3650,60
17079,894,14
17081,2926,82
17083,1972,42
17085,1388,24
17087,982,15
17089,41511,604
17091,10717,159
17093,8771,73
17095,4059,126
17097,48300,818
17099,8363,230
17101,1985,27
17103,2707,64
17105,3140,58
17107,2705,51
17109,1978,46
17111,19128,217
17113,11621,115
17115,7959,170
17117,3273,79
17119,21054,389
17121,3548,103
17123,578,9
17125,1026,38
17127,893,28
17129,729,8
17131,1069,24
17133,3135,59
17135,2166,24
17137,3060,82
17139,1260,27
17141,4102,65
17143,13172,201
17145,2185,52
17147,1046,8
17149,1395,41
17151,196,1
17153,560,3
17155,319,0
17157,3324,47
17159,1309,37
17161,11014,259
17163,20854,353
17165,1764,40
17167,13219,197
17169,543,14
17171,327,1
17173,1793,34
17175,449,20
17177,3242,62
17179,10431,197
17181,1697,31
17183,6429,90
17185,1048,13
17187,1496,36
17189,1225,24
17191,1336,41
17193,1122,27
09001,56288,1720
17195,4956,160
09003,46680,1852
17197,52293,780
09005,7476,225
17199,5316,107
09007,6566,237
09009,47375,1529
17201,24019,373
09011,10618,245
17203,2818,58
09013,4900,109
09015,5140,78
50001,269,4
50003,501,3
50005,248,3
50007,2658,69
50009,81,0
50011,542,25
50013,61,0
50015,230,1
50017,312,1
50019,293,5
50021,451,8
50023,884,9
50025,470,5
50027,404,3
01001,4190,48
01003,13601,161
01005,1514,32
01007,1834,46
01009,4641,63
01011,859,22
01013,1508,45
01015,9494,156
01017,2341,63
01019,1414,24
01021,2970,54
01023,490,22
01025,2390,25
01027,1141,34
01029,1026,16
01031,3594,38
01033,4660,60
01035,837,17
01037,517,7
01039,2913,40
01041,954,36
42001,4557,88
01043,7079,78
42003,53809,1009
01045,3325,63
42005,3465,69
01047,2769,43
42007,8433,252
01049,6900,61
42009,2956,94
01051,6435,83
42011,23439,565
01053,2661,34
42013,7886,175
01055,10031,94
42015,3040,56
01057,1430,19
42017,30537,904
01059,3270,37
42019,9361,194
01061,1677,20
42021,8823,250
01063,672,20
42023,147,4
01065,1440,33
42025,2780,90
01067,1247,8
42027,8977,139
01069,7279,64
42029,20457,512
01071,5097,34
42031,2021,46
01073,52339,697
42033,4023,50
01075,1056,15
42035,1942,24
01077,6478,70
42037,2746,71
01079,2044,42
42039,4859,84
01081,10320,75
42041,10456,299
01083,6822,58
42043,13859,314
01085,945,32
42045,29745,993
01087,999,30
42047,1437,16
01089,22197,179
42049,11663,218
01091,1793,26
42051,7247,113
01093,2087,43
42053,307,3
01095,9189,86
42055,8699,225
01097,25858,506
42057,710,10
01099,1215,11
42059,1690,15
01101,16116,276
42061,3070,86
01103,10627,87
42063,3950,123
01105,867,10
42065,1888,43
01107,1734,26
42067,1351,48
01109,2023,23
42069,8812,268
01111,1245,30
42071,28006,731
01113,2793,6
42073,4245,126
01115,6467,73
42075,8851,156
01117,15668,103
42077,20348,503
01119,849,24
42079,17317,463
01121,5165,75
42081,6014,121
01123,2368,98
42083,1679,21
01125,18468,218
42085,5975,142
01127,5259,138
42087,3418,119
01129,1184,24
42089,6103,200
01131,883,19
42091,36131,1147
01133,1968,30
42093,1285,25
42095,16648,431
42097,4836,226
42099,1721,33
42101,93885,2473
42103,1440,33
42105,583,14
42107,7817,245
42109,1894,43
42111,4849,81
42113,146,3
42115,1028,39
42117,1913,58
42119,2891,42
42121,2354,47
42123,1474,28
42125,8947,131
42127,1829,18
42129,19333,423
42131,787,29
42133,23283,419
34001,12200,368
34003,47362,2318
34005,21221,624
34007,28693,818
34009,2403,135
34011,7853,225
34013,47442,2391
34015,14133,386
34017,44104,1699
34019,3800,139
34021,18790,720
34023,45012,1677
34025,31937,1040
34027,20284,958
34029,32509,1356
34031,40033,1458
34033,2764,112
34035,12688,664
34037,4478,215
34039,36683,1556
34041,3935,183
26001,336,14
26003,446,2
26005,5758,66
26007,1142,26
26009,620,9
26011,597,24
26013,619,28
26015,2968,34
26017,6219,187
26019,658,26
26021,9371,189
26023,3887,91
26025,7802,189
26027,3194,45
26029,849,10
26031,737,33
26033,2780,20
26035,1224,41
26037,3879,40
26039,457,6
26041,2889,77
26043,2174,68
26045,4667,89
26047,1207,33
26049,21619,596
26051,1184,33
26053,1002,38
26055,3042,46
26057,4148,71
26059,2588,57
26061,1974,32
26063,1523,42
26065,12635,184
26067,4848,46
26069,1104,46
26071,813,37
26073,3426,42
26075,10366,176
26077,12232,240
26079,492,12
26081,43280,543
26083,83,2
26085,304,9
26087,4334,108
26089,626,7
26091,5353,66
26093,7853,74
26095,979,0
26097,380,2
26099,49744,1606
26101,609,15
26103,4408,52
26105,979,19
26107,1651,14
26109,1689,25
26111,4011,45
26113,481,8
26115,7595,149
26117,3205,65
26119,286,11
26121,11067,269
26123,2253,33
26125,61195,1636
26127,1605,43
26129,921,30
26131,306,16
26133,841,18
26135,308,15
26137,1026,22
26139,18640,272
26141,530,9
26143,963,27
26145,12367,383
26147,7088,160
26149,3584,50
26151,1497,57
26153,229,4
26155,2954,58
26157,2637,89
26159,4044,78
26161,14234,200
26163,84967,3626
54047,970,6
26165,994,18
18001,2616,34
18003,28059,508
18005,5485,91
18007,745,9
18009,902,23
18011,4472,64
18013,739,8
18015,1333,15
18017,4200,44
18019,8403,119
18021,1876,30
18023,3208,38
18025,592,8
18027,2281,70
18029,3843,42
18031,2152,76
18033,2981,62
18035,7667,126
18037,4614,49
18039,22743,325
18041,2325,43
18043,5114,104
18045,1521,23
18047,1229,29
18049,1387,26
18051,3016,56
18053,5404,102
18055,1937,59
18057,23956,288
18059,5166,86
18061,2636,37
18063,11514,228
18065,4257,55
18067,6662,123
18069,2445,45
18071,3760,44
18073,2475,33
18075,1510,22
18077,2162,36
18079,1700,34
18081,12155,248
18083,2914,38
18085,6833,72
18087,2045,56
18089,39901,632
18091,7561,139
18093,3299,65
18095,8994,189
18097,70801,1206
18099,4469,77
18101,592,12
18103,2730,32
18105,8007,98
18107,2842,50
18109,4271,82
18111,831,20
18113,4048,57
18115,396,7
18117,1227,34
18119,1325,32
18121,1179,8
18123,1205,23
18125,934,27
18127,12819,156
18129,1906,26
18131,851,32
18133,2462,39
18135,1881,35
18137,2478,40
18139,1254,14
18141,24264,367
18143,1919,37
18145,4202,82
18147,1507,14
18149,1558,43
18151,2643,24
18153,1655,25
18155,497,5
18157,15018,88
18159,1077,32
18161,530,2
18163,15554,203
18165,1227,30
18167,9304,154
18169,2613,43
18171,537,8
18173,5266,89
18175,1432,16
18177,5615,144
18179,1945,48
18181,2321,29
18183,2474,20
10001,9173,167
10003,33211,462
10005,14936,297
51001,1698,27
51003,2808,31
51005,767,23
51007,352,7
51009,1443,10
51011,716,7
51013,8872,181
51015,3307,29
51017,153,0
51019,3107,31
51021,480,6
51023,1292,17
51025,641,8
